user_id,premium_starts_at,premium_renewed_at,premium_expires_at,isPremiumUser,LastPaymentDate
1659,null,2022-12-23T17:04:31.000000+0000,2022-12-26T17:04:31.000000+0000,NO,2022-12-26T17:04:31.000000+0000
3232,null,2023-03-09T21:31:35.000000+0000,2023-04-09T20:31:35.000000+0000,NO,2023-04-09T20:31:35.000000+0000
3950,null,2023-01-30T11:24:47.000000+0000,2023-02-28T11:24:47.000000+0000,NO,2023-02-28T11:24:47.000000+0000
1525,null,2025-11-02T12:08:57.000000+0000,2025-12-05T12:08:57.000000+0000,NO,2025-12-05T12:08:57.000000+0000
1430,\N,\N,\N,NO,\N
2109,null,2024-05-23T19:10:22.000000+0000,2024-06-23T19:10:22.000000+0000,NO,2024-06-23T19:10:22.000000+0000
4506,null,null,2022-12-26T21:33:13.000000+0000,NO,2022-12-26T21:33:13.000000+0000
2005,null,2023-01-28T09:51:11.000000+0000,2023-02-28T09:51:11.000000+0000,NO,2023-02-28T09:51:11.000000+0000
4819,\N,\N,\N,NO,\N
4179,\N,\N,\N,NO,\N
4822,null,2022-12-27T03:08:46.000000+0000,2023-02-03T01:10:03.000000+0000,NO,2023-02-03T01:10:03.000000+0000
4089,null,2025-08-13T18:56:28.000000+0000,2025-09-13T18:56:28.000000+0000,NO,2025-09-13T18:56:28.000000+0000
5082,null,2022-12-23T13:36:44.000000+0000,null,NO,null
727,null,2023-02-20T20:57:46.000000+0000,2023-02-20T21:02:46.000000+0000,NO,2023-02-20T21:02:46.000000+0000
4851,null,2022-12-27T16:56:04.000000+0000,2023-01-19T06:06:40.000000+0000,NO,2023-01-19T06:06:40.000000+0000
61,null,2022-12-26T03:08:41.000000+0000,2029-06-25T23:59:59.999999+0000,YES,2029-06-25T23:59:59.999999+0000
1294,null,2023-01-27T15:30:53.000000+0000,2023-02-27T15:30:53.000000+0000,NO,2023-02-27T15:30:53.000000+0000
4857,null,2022-12-27T19:24:00.000000+0000,2023-01-29T17:24:08.000000+0000,NO,2023-01-29T17:24:08.000000+0000
1947,null,2022-12-24T18:03:27.000000+0000,2022-12-27T18:03:27.000000+0000,NO,2022-12-27T18:03:27.000000+0000
603,null,2023-01-19T11:02:31.000000+0000,2023-02-19T11:02:31.000000+0000,NO,2023-02-19T11:02:31.000000+0000
4867,null,null,2022-12-27T23:09:33.000000+0000,NO,2022-12-27T23:09:33.000000+0000
4758,\N,\N,\N,NO,\N
4826,null,2022-12-28T02:19:59.000000+0000,2023-01-16T12:30:06.000000+0000,NO,2023-01-16T12:30:06.000000+0000
4877,null,2022-12-28T08:11:21.000000+0000,2023-02-08T08:13:48.000000+0000,NO,2023-02-08T08:13:48.000000+0000
688,\N,\N,\N,NO,\N
35978,null,2023-01-28T09:51:11.000000+0000,2023-02-28T09:51:11.000000+0000,NO,2023-02-28T09:51:11.000000+0000
4886,null,null,2023-02-15T19:48:37.000000+0000,NO,2023-02-15T19:48:37.000000+0000
139455,null,2025-04-29T02:54:12.000000+0000,2025-05-29T02:54:12.000000+0000,NO,2025-05-29T02:54:12.000000+0000
2604,\N,\N,\N,NO,\N
4743,null,2022-12-25T15:52:11.000000+0000,2022-12-28T15:52:11.000000+0000,NO,2022-12-28T15:52:11.000000+0000
4153,\N,\N,\N,NO,\N
3044,null,2025-06-18T18:11:18.651000+0000,2026-06-18T18:10:08.914000+0000,YES,2026-06-18T18:10:08.914000+0000
653,\N,\N,\N,NO,\N
4846,null,2022-12-25T19:09:30.000000+0000,2023-01-04T19:09:30.000000+0000,NO,2023-01-04T19:09:30.000000+0000
4911,null,2022-12-25T20:46:10.000000+0000,2022-12-28T20:46:10.000000+0000,NO,2022-12-28T20:46:10.000000+0000
272,null,2024-09-05T08:21:03.000000+0000,2024-10-05T08:21:03.000000+0000,NO,2024-10-05T08:21:03.000000+0000
4124,null,null,2022-12-28T22:32:16.000000+0000,NO,2022-12-28T22:32:16.000000+0000
4197,\N,\N,\N,NO,\N
912,null,2025-12-02T10:23:26.000000+0000,2026-01-02T10:23:26.000000+0000,YES,2026-01-02T10:23:26.000000+0000
1206,null,2024-05-10T14:45:26.000000+0000,2024-06-10T14:45:26.000000+0000,NO,2024-06-10T14:45:26.000000+0000
6931,null,2022-12-26T03:08:41.000000+0000,null,NO,null
495,null,2022-12-26T04:13:51.000000+0000,2023-08-25T14:22:47.000000+0000,NO,2023-08-25T14:22:47.000000+0000
4931,null,2022-12-29T06:50:11.000000+0000,2023-01-04T01:07:58.000000+0000,NO,2023-01-04T01:07:58.000000+0000
4739,null,2022-12-29T07:03:16.000000+0000,2023-01-31T05:03:28.000000+0000,NO,2023-01-31T05:03:28.000000+0000
4938,null,null,2022-12-26T23:59:59.999999+0000,NO,2022-12-26T23:59:59.999999+0000
4033,null,2022-12-26T10:45:13.000000+0000,2022-12-29T10:45:13.000000+0000,NO,2022-12-29T10:45:13.000000+0000
4946,null,2022-12-29T14:26:11.000000+0000,2022-12-30T19:16:19.000000+0000,NO,2022-12-30T19:16:19.000000+0000
4949,null,2022-12-29T14:38:30.000000+0000,2023-01-31T12:38:37.000000+0000,NO,2023-01-31T12:38:37.000000+0000
10957,null,2022-12-26T15:40:56.000000+0000,null,NO,null
4952,null,2022-12-29T17:34:22.000000+0000,2023-05-10T07:53:32.000000+0000,NO,2023-05-10T07:53:32.000000+0000
1805,null,null,null,NO,null
4752,null,2023-10-25T09:50:30.000000+0000,2023-11-25T10:50:30.000000+0000,NO,2023-11-25T10:50:30.000000+0000
4752,null,null,2022-12-29T16:39:06.000000+0000,NO,2022-12-29T16:39:06.000000+0000
4884,null,null,2022-12-29T17:38:44.000000+0000,NO,2022-12-29T17:38:44.000000+0000
4965,null,2022-12-29T22:07:49.000000+0000,2023-01-02T15:31:11.000000+0000,NO,2023-01-02T15:31:11.000000+0000
3025,\N,\N,\N,NO,\N
2199,\N,\N,\N,NO,\N
4984,null,2022-12-30T03:52:43.000000+0000,2023-02-01T01:52:53.000000+0000,NO,2023-02-01T01:52:53.000000+0000
1224,null,2024-12-09T08:33:08.991629+0000,2025-12-09T08:33:02.000000+0000,NO,2025-12-09T08:33:02.000000+0000
1720,\N,\N,\N,NO,\N
3932,null,2022-12-27T14:43:26.000000+0000,2023-01-06T14:43:26.000000+0000,NO,2023-01-06T14:43:26.000000+0000
1899,null,2023-05-15T13:44:04.000000+0000,2024-05-15T13:44:04.000000+0000,NO,2024-05-15T13:44:04.000000+0000
4679,\N,\N,\N,NO,\N
4613,null,2023-09-03T14:12:41.733000+0000,2023-10-03T14:12:41.733000+0000,NO,2023-10-03T14:12:41.733000+0000
4665,null,2023-04-22T19:32:00.000000+0000,2023-05-22T19:32:00.000000+0000,NO,2023-05-22T19:32:00.000000+0000
4654,null,null,2022-12-30T18:59:29.000000+0000,NO,2022-12-30T18:59:29.000000+0000
5020,\N,\N,\N,NO,\N
5027,null,2023-02-28T22:36:21.000000+0000,2023-03-03T20:36:21.000000+0000,NO,2023-03-03T20:36:21.000000+0000
5029,\N,\N,\N,NO,\N
4805,null,null,2022-12-31T00:02:16.000000+0000,NO,2022-12-31T00:02:16.000000+0000
5053,null,2022-12-31T07:37:47.000000+0000,2023-02-02T05:37:53.000000+0000,NO,2023-02-02T05:37:53.000000+0000
5054,null,2023-02-16T03:13:20.000000+0000,2023-03-16T02:13:20.000000+0000,NO,2023-03-16T02:13:20.000000+0000
4381,null,2023-01-08T21:00:08.000000+0000,2023-01-11T21:00:08.000000+0000,NO,2023-01-11T21:00:08.000000+0000
279,null,2024-07-21T21:58:33.000000+0000,2024-07-24T21:58:33.000000+0000,NO,2024-07-24T21:58:33.000000+0000
4839,null,2023-01-28T09:51:11.000000+0000,2023-02-28T09:51:11.000000+0000,NO,2023-02-28T09:51:11.000000+0000
3021,null,2022-12-28T14:00:54.000000+0000,2023-01-07T14:00:54.000000+0000,NO,2023-01-07T14:00:54.000000+0000
5071,\N,\N,\N,NO,\N
5074,\N,\N,\N,NO,\N
3694,\N,\N,\N,NO,\N
861,null,2022-12-28T18:52:38.000000+0000,2023-07-21T23:59:59.999999+0000,NO,2023-07-21T23:59:59.999999+0000
5098,null,2023-01-01T07:30:47.000000+0000,2023-01-18T06:31:02.000000+0000,NO,2023-01-18T06:31:02.000000+0000
5109,\N,\N,\N,NO,\N
4252,null,2023-01-01T14:41:09.000000+0000,2023-02-03T12:41:20.000000+0000,NO,2023-02-03T12:41:20.000000+0000
5112,null,null,2023-01-01T12:59:43.000000+0000,NO,2023-01-01T12:59:43.000000+0000
5138,null,null,2023-01-01T21:45:03.000000+0000,NO,2023-01-01T21:45:03.000000+0000
1650,null,2024-03-24T22:04:15.000000+0000,2024-04-24T22:04:15.000000+0000,NO,2024-04-24T22:04:15.000000+0000
466,null,2025-05-31T08:33:14.000000+0000,2026-05-31T08:33:14.000000+0000,YES,2026-05-31T08:33:14.000000+0000
5156,\N,\N,\N,NO,\N
717,null,2022-12-30T12:46:11.000000+0000,2023-01-02T12:46:11.000000+0000,NO,2023-01-02T12:46:11.000000+0000
5166,null,2023-01-02T15:58:03.000000+0000,2023-02-02T13:58:04.000000+0000,NO,2023-02-02T13:58:04.000000+0000
5167,null,2022-12-30T14:44:13.000000+0000,2023-01-02T14:44:13.000000+0000,NO,2023-01-02T14:44:13.000000+0000
5168,null,2022-12-30T14:58:05.000000+0000,2023-01-02T14:58:05.000000+0000,NO,2023-01-02T14:58:05.000000+0000
5187,null,2023-01-02T22:51:15.000000+0000,2023-01-06T23:36:21.000000+0000,NO,2023-01-06T23:36:21.000000+0000
5187,null,null,2023-01-02T22:51:15.000000+0000,NO,2023-01-02T22:51:15.000000+0000
14081,null,2023-06-10T19:16:38.000000+0000,2023-07-10T19:16:38.000000+0000,NO,2023-07-10T19:16:38.000000+0000
4021,\N,\N,\N,NO,\N
3591,null,2023-02-28T20:08:20.000000+0000,2023-03-28T22:08:20.000000+0000,NO,2023-03-28T22:08:20.000000+0000
705,null,2023-02-03T13:06:34.000000+0000,2023-03-03T13:06:34.000000+0000,NO,2023-03-03T13:06:34.000000+0000
470,null,2024-10-13T15:53:49.000000+0000,2024-11-13T16:53:49.000000+0000,NO,2024-11-13T16:53:49.000000+0000
673,null,2025-12-03T09:10:55.967841+0000,2026-01-02T09:10:54.000000+0000,YES,2026-01-02T09:10:54.000000+0000
5128,\N,\N,\N,NO,\N
5220,null,2023-01-03T16:56:03.000000+0000,2023-01-04T20:16:29.000000+0000,NO,2023-01-04T20:16:29.000000+0000
3699,null,2023-08-07T08:03:54.058000+0000,2023-09-09T08:04:02.913000+0000,NO,2023-09-09T08:04:02.913000+0000
45556,null,2025-01-02T18:59:08.000000+0000,2025-02-02T18:59:08.000000+0000,NO,2025-02-02T18:59:08.000000+0000
30754,null,2023-01-01T12:11:03.000000+0000,null,NO,null
395,null,2023-06-08T09:14:06.000000+0000,2023-07-08T09:14:06.000000+0000,NO,2023-07-08T09:14:06.000000+0000
5272,null,2022-12-24T20:03:59.000000+0000,2022-12-27T20:03:59.000000+0000,NO,2022-12-27T20:03:59.000000+0000
5281,null,2023-01-01T18:29:12.000000+0000,2023-01-04T18:29:12.000000+0000,NO,2023-01-04T18:29:12.000000+0000
5485,null,2023-01-22T09:05:44.000000+0000,2023-02-22T09:05:44.000000+0000,NO,2023-02-22T09:05:44.000000+0000
5283,null,null,2023-01-04T20:52:48.000000+0000,NO,2023-01-04T20:52:48.000000+0000
3622,null,2023-01-01T21:18:00.000000+0000,2023-01-04T21:18:00.000000+0000,NO,2023-01-04T21:18:00.000000+0000
5284,null,2023-01-05T00:28:50.000000+0000,2023-02-06T22:28:56.000000+0000,NO,2023-02-06T22:28:56.000000+0000
5287,null,2023-01-02T00:17:38.000000+0000,2023-01-05T00:17:38.000000+0000,NO,2023-01-05T00:17:38.000000+0000
5289,null,2023-03-19T17:33:45.000000+0000,2023-04-19T19:32:22.000000+0000,NO,2023-04-19T19:32:22.000000+0000
3743,null,2023-01-02T07:26:47.000000+0000,2023-01-05T07:26:47.000000+0000,NO,2023-01-05T07:26:47.000000+0000
3780,\N,\N,\N,NO,\N
1486,null,2025-11-27T18:31:41.000000+0000,2025-12-27T18:31:41.000000+0000,YES,2025-12-27T18:31:41.000000+0000
1450,null,2024-08-26T06:49:50.000000+0000,2024-09-26T06:49:50.000000+0000,NO,2024-09-26T06:49:50.000000+0000
5316,\N,\N,\N,NO,\N
3678,null,null,2023-01-05T15:00:48.000000+0000,NO,2023-01-05T15:00:48.000000+0000
5322,null,2023-01-02T15:09:13.000000+0000,2023-01-05T15:09:13.000000+0000,NO,2023-01-05T15:09:13.000000+0000
5329,\N,\N,\N,NO,\N
5336,\N,\N,\N,NO,\N
2843,null,2023-01-02T19:48:36.000000+0000,2023-01-05T19:48:36.000000+0000,NO,2023-01-05T19:48:36.000000+0000
371,null,2025-12-09T15:18:16.000000+0000,2026-01-09T15:18:16.000000+0000,YES,2026-01-09T15:18:16.000000+0000
5347,null,2023-01-02T21:17:09.000000+0000,2023-01-05T21:17:09.000000+0000,NO,2023-01-05T21:17:09.000000+0000
779,null,2023-01-02T22:08:49.000000+0000,2023-01-05T22:08:49.000000+0000,NO,2023-01-05T22:08:49.000000+0000
5356,null,2023-01-03T02:40:55.000000+0000,2023-01-06T02:40:55.000000+0000,NO,2023-01-06T02:40:55.000000+0000
5361,null,2023-01-06T06:08:46.000000+0000,2023-02-08T04:08:53.000000+0000,NO,2023-02-08T04:08:53.000000+0000
398,null,2024-02-07T15:49:32.000000+0000,2024-03-07T15:49:32.000000+0000,NO,2024-03-07T15:49:32.000000+0000
640,null,2024-07-13T18:56:50.000000+0000,2024-08-13T18:56:50.000000+0000,NO,2024-08-13T18:56:50.000000+0000
4009,\N,\N,\N,NO,\N
5404,null,2023-01-03T18:17:57.000000+0000,2023-01-06T18:17:57.000000+0000,NO,2023-01-06T18:17:57.000000+0000
5418,null,2023-01-06T20:17:04.000000+0000,2023-01-11T05:04:29.000000+0000,NO,2023-01-11T05:04:29.000000+0000
5420,\N,\N,\N,NO,\N
5429,null,null,2023-01-07T00:14:07.000000+0000,NO,2023-01-07T00:14:07.000000+0000
5402,\N,\N,\N,NO,\N
5048,null,2023-01-04T03:41:57.000000+0000,2023-01-07T03:41:57.000000+0000,NO,2023-01-07T03:41:57.000000+0000
5430,null,2023-01-07T06:57:18.000000+0000,2023-02-07T04:57:19.000000+0000,NO,2023-02-07T04:57:19.000000+0000
5417,null,2025-11-26T19:05:46.000000+0000,2025-12-26T19:05:46.000000+0000,YES,2025-12-26T19:05:46.000000+0000
309,null,2023-01-04T08:12:25.000000+0000,2023-01-07T08:12:25.000000+0000,NO,2023-01-07T08:12:25.000000+0000
5466,null,null,2023-01-07T11:11:38.000000+0000,NO,2023-01-07T11:11:38.000000+0000
5467,null,null,2023-01-07T12:09:43.000000+0000,NO,2023-01-07T12:09:43.000000+0000
5469,\N,\N,\N,NO,\N
5471,null,2023-01-07T15:30:52.000000+0000,2023-02-14T14:31:17.000000+0000,NO,2023-02-14T14:31:17.000000+0000
4368,\N,\N,\N,NO,\N
1915,null,2023-01-28T09:51:11.000000+0000,null,NO,null
4948,null,2023-01-08T05:06:00.000000+0000,2023-02-08T07:06:00.000000+0000,NO,2023-02-08T07:06:00.000000+0000
5499,null,2024-11-11T14:44:36.000000+0000,2024-12-11T14:44:36.000000+0000,NO,2024-12-11T14:44:36.000000+0000
5501,\N,\N,\N,NO,\N
2231,null,2023-04-28T22:16:55.000000+0000,2023-05-28T22:16:55.000000+0000,NO,2023-05-28T22:16:55.000000+0000
5526,null,null,2023-01-08T12:24:12.000000+0000,NO,2023-01-08T12:24:12.000000+0000
5548,null,2023-01-09T01:29:24.000000+0000,2023-02-09T01:29:24.000000+0000,NO,2023-02-09T01:29:24.000000+0000
5554,null,2023-01-09T05:29:41.000000+0000,2023-01-12T03:29:41.000000+0000,NO,2023-01-12T03:29:41.000000+0000
5555,\N,\N,\N,NO,\N
5561,null,2023-01-09T07:03:48.000000+0000,2023-01-10T05:05:07.000000+0000,NO,2023-01-10T05:05:07.000000+0000
5243,null,2023-01-09T07:34:55.000000+0000,2023-01-12T05:34:55.000000+0000,NO,2023-01-12T05:34:55.000000+0000
5592,null,null,null,NO,null
5042,\N,\N,\N,NO,\N
5437,null,2023-01-09T23:28:44.000000+0000,2023-01-12T21:28:44.000000+0000,NO,2023-01-12T21:28:44.000000+0000
5600,null,2023-01-10T01:20:08.000000+0000,2023-01-12T23:20:08.000000+0000,NO,2023-01-12T23:20:08.000000+0000
5392,null,null,2023-01-10T14:52:53.000000+0000,NO,2023-01-10T14:52:53.000000+0000
3918,\N,\N,\N,NO,\N
4564,null,2023-01-10T11:38:15.000000+0000,2023-01-13T13:56:27.000000+0000,NO,2023-01-13T13:56:27.000000+0000
5622,\N,\N,\N,NO,\N
5626,\N,\N,\N,NO,\N
836,null,2024-03-04T07:32:58.000000+0000,2024-04-04T06:32:58.000000+0000,NO,2024-04-04T06:32:58.000000+0000
5192,null,null,2023-01-10T16:11:00.000000+0000,NO,2023-01-10T16:11:00.000000+0000
5628,null,2023-01-07T17:46:03.000000+0000,2023-01-10T17:46:03.000000+0000,NO,2023-01-10T17:46:03.000000+0000
5631,null,2023-01-07T19:36:09.000000+0000,2023-01-10T19:36:09.000000+0000,NO,2023-01-10T19:36:09.000000+0000
5632,null,null,2023-01-10T19:50:31.000000+0000,NO,2023-01-10T19:50:31.000000+0000
5633,\N,\N,\N,NO,\N
5643,null,2023-01-07T23:14:52.000000+0000,2023-01-10T23:14:52.000000+0000,NO,2023-01-10T23:14:52.000000+0000
1682,null,2024-03-15T14:10:51.000000+0000,2024-04-15T14:10:51.000000+0000,NO,2024-04-15T14:10:51.000000+0000
4856,null,2023-01-11T05:03:17.000000+0000,2023-02-11T03:03:17.000000+0000,NO,2023-02-11T03:03:17.000000+0000
5263,null,null,2023-01-11T03:28:58.000000+0000,NO,2023-01-11T03:28:58.000000+0000
5312,\N,\N,\N,NO,\N
5676,null,null,2023-01-11T13:30:18.000000+0000,NO,2023-01-11T13:30:18.000000+0000
1589,\N,\N,\N,NO,\N
1350,null,2023-02-07T09:53:36.000000+0000,2023-03-07T09:53:36.000000+0000,NO,2023-03-07T09:53:36.000000+0000
5694,null,2023-01-12T00:38:14.000000+0000,2023-02-12T00:38:14.000000+0000,NO,2023-02-12T00:38:14.000000+0000
5708,null,null,2023-01-12T06:15:02.000000+0000,NO,2023-01-12T06:15:02.000000+0000
5709,null,2023-01-12T08:30:58.000000+0000,2023-01-13T16:19:33.000000+0000,NO,2023-01-13T16:19:33.000000+0000
5722,null,2023-03-08T13:03:26.000000+0000,2023-03-11T11:03:26.000000+0000,NO,2023-03-11T11:03:26.000000+0000
5684,null,2025-11-13T04:24:25.000000+0000,2025-12-13T04:24:25.000000+0000,YES,2025-12-13T04:24:25.000000+0000
3191,null,2023-01-26T09:52:43.000000+0000,2023-02-05T09:52:43.000000+0000,NO,2023-02-05T09:52:43.000000+0000
5741,\N,\N,\N,NO,\N
5742,null,2023-01-12T23:46:53.000000+0000,2023-01-15T21:46:53.000000+0000,NO,2023-01-15T21:46:53.000000+0000
5747,\N,\N,\N,NO,\N
8571,null,2023-01-15T14:02:17.000000+0000,null,NO,null
5774,null,null,null,NO,null
553,\N,\N,\N,NO,\N
5761,\N,\N,\N,NO,\N
5804,null,null,2023-01-13T16:27:38.000000+0000,NO,2023-01-13T16:27:38.000000+0000
2612,null,2023-03-22T19:44:45.000000+0000,2023-04-22T19:44:45.000000+0000,NO,2023-04-22T19:44:45.000000+0000
723,\N,\N,\N,NO,\N
5813,\N,\N,\N,NO,\N
5820,null,2023-01-14T07:07:36.000000+0000,2023-01-18T16:36:25.000000+0000,NO,2023-01-18T16:36:25.000000+0000
391,null,2023-01-24T04:40:04.000000+0000,2023-02-24T04:40:04.000000+0000,NO,2023-02-24T04:40:04.000000+0000
5353,null,2023-01-14T16:21:00.000000+0000,2023-01-15T22:39:38.000000+0000,NO,2023-01-15T22:39:38.000000+0000
626,null,2025-09-08T03:44:41.000000+0000,2026-09-08T03:44:41.000000+0000,YES,2026-09-08T03:44:41.000000+0000
1902,null,2024-02-29T21:37:41.000000+0000,2024-03-29T20:37:41.000000+0000,NO,2024-03-29T20:37:41.000000+0000
221,null,2024-02-05T11:20:10.000000+0000,null,NO,null
5858,null,2023-01-11T17:46:23.000000+0000,2023-01-14T17:46:23.000000+0000,NO,2023-01-14T17:46:23.000000+0000
5861,null,2023-01-11T18:32:46.000000+0000,2023-01-14T18:32:46.000000+0000,NO,2023-01-14T18:32:46.000000+0000
5865,null,2023-01-14T20:39:43.000000+0000,2023-02-14T20:39:43.000000+0000,NO,2023-02-14T20:39:43.000000+0000
5562,null,null,2023-01-15T00:07:08.000000+0000,NO,2023-01-15T00:07:08.000000+0000
524,null,2023-01-15T06:01:25.000000+0000,2023-02-15T06:01:25.000000+0000,NO,2023-02-15T06:01:25.000000+0000
5879,null,2023-01-21T04:18:41.000000+0000,2023-02-21T04:18:41.000000+0000,NO,2023-02-21T04:18:41.000000+0000
201,null,2025-03-14T07:12:07.000000+0000,2025-04-14T07:12:07.000000+0000,NO,2025-04-14T07:12:07.000000+0000
1077,null,2023-01-12T08:47:25.000000+0000,2023-01-15T08:47:25.000000+0000,NO,2023-01-15T08:47:25.000000+0000
950,null,2025-08-01T14:47:15.000000+0000,2025-09-01T14:47:15.000000+0000,NO,2025-09-01T14:47:15.000000+0000
4843,null,2023-01-28T09:51:11.000000+0000,2023-02-28T09:51:11.000000+0000,NO,2023-02-28T09:51:11.000000+0000
5896,null,2023-01-28T09:51:11.000000+0000,2023-02-28T09:51:11.000000+0000,NO,2023-02-28T09:51:11.000000+0000
3937,null,2023-12-04T18:17:53.596000+0000,2024-01-07T18:17:17.141000+0000,NO,2024-01-07T18:17:17.141000+0000
1180,null,2024-09-23T15:26:42.000000+0000,2024-10-23T15:26:42.000000+0000,NO,2024-10-23T15:26:42.000000+0000
5925,\N,\N,\N,NO,\N
5930,null,null,2023-01-16T06:42:51.000000+0000,NO,2023-01-16T06:42:51.000000+0000
1978,null,2023-03-31T07:55:40.000000+0000,2023-04-30T07:55:40.000000+0000,NO,2023-04-30T07:55:40.000000+0000
5943,\N,\N,\N,NO,\N
5950,null,2023-01-13T19:12:22.000000+0000,2023-01-16T19:12:22.000000+0000,NO,2023-01-16T19:12:22.000000+0000
5955,\N,\N,\N,NO,\N
5966,null,2023-01-17T08:49:14.000000+0000,2023-02-17T08:49:14.000000+0000,NO,2023-02-17T08:49:14.000000+0000
5967,null,null,2023-01-17T06:58:09.000000+0000,NO,2023-01-17T06:58:09.000000+0000
1067,null,2024-05-17T06:44:09.000000+0000,2025-05-17T06:44:09.000000+0000,NO,2025-05-17T06:44:09.000000+0000
1313,\N,\N,\N,NO,\N
4650,null,null,2023-01-17T09:55:22.000000+0000,NO,2023-01-17T09:55:22.000000+0000
143141,null,2025-12-07T05:28:52.000000+0000,2026-01-07T05:28:52.000000+0000,YES,2026-01-07T05:28:52.000000+0000
315,null,2023-01-14T14:56:55.000000+0000,2023-01-17T14:56:55.000000+0000,NO,2023-01-17T14:56:55.000000+0000
481,\N,\N,\N,NO,\N
5983,\N,\N,\N,NO,\N
2026,null,2024-02-19T20:37:51.000000+0000,2024-02-19T20:42:51.000000+0000,NO,2024-02-19T20:42:51.000000+0000
5989,null,2023-01-14T22:59:20.000000+0000,2023-01-17T22:59:20.000000+0000,NO,2023-01-17T22:59:20.000000+0000
4541,null,null,2023-01-18T01:07:43.000000+0000,NO,2023-01-18T01:07:43.000000+0000
6002,null,2023-09-04T05:38:01.973000+0000,2023-10-04T05:37:16.029000+0000,NO,2023-10-04T05:37:16.029000+0000
6016,null,2023-10-21T11:06:56.000000+0000,2023-11-21T12:06:56.000000+0000,NO,2023-11-21T12:06:56.000000+0000
1956,null,2024-02-19T20:37:51.000000+0000,2024-02-19T20:42:51.000000+0000,NO,2024-02-19T20:42:51.000000+0000
6027,\N,\N,\N,NO,\N
6028,null,2023-01-18T17:13:48.000000+0000,2023-02-18T17:13:48.000000+0000,NO,2023-02-18T17:13:48.000000+0000
3814,\N,\N,\N,NO,\N
6035,\N,\N,\N,NO,\N
6040,null,null,2023-02-15T19:48:37.000000+0000,NO,2023-02-15T19:48:37.000000+0000
4632,\N,\N,\N,NO,\N
751,null,2023-01-15T20:07:33.000000+0000,2023-01-18T20:07:33.000000+0000,NO,2023-01-18T20:07:33.000000+0000
6045,null,2023-01-15T20:51:01.000000+0000,2023-01-18T20:51:01.000000+0000,NO,2023-01-18T20:51:01.000000+0000
5619,null,null,2023-01-18T21:59:57.000000+0000,NO,2023-01-18T21:59:57.000000+0000
6048,null,2023-03-03T00:38:08.000000+0000,2023-04-02T22:38:09.000000+0000,NO,2023-04-02T22:38:09.000000+0000
4769,null,2023-01-16T00:04:18.000000+0000,2023-01-19T00:04:18.000000+0000,NO,2023-01-19T00:04:18.000000+0000
